1	69.163.96.3	8080	2011-06-26 14:42:03	2011-04-16 19:54:01
2	69.163.96.2	8080	2011-06-26 14:40:02	2011-04-12 12:53:09
3	120.203.1.202	3128	2011-06-26 14:39:03	2011-06-01 02:50:02
4	123.235.43.32	18080	2011-06-26 14:38:03	2011-06-26 12:51:01
5	202.28.66.115	8080	2011-06-26 14:37:05	2011-03-22 14:50:09
6	77.93.240.66	3128	2011-06-26 14:37:05	2011-06-25 00:41:03
7	113.106.94.6	8088	2011-06-26 14:37:01	2011-06-13 15:34:01
8	202.249.37.67	3128	2011-06-26 14:35:02	2011-06-26 13:05:07
9	212.45.5.172	3128	2011-06-26 14:34:02	2009-12-25 07:26:02
10	85.21.168.116	3128	2011-06-26 14:27:02	2011-06-12 01:39:02
11	96.255.68.19	8080	2011-06-26 14:21:02	2011-06-02 04:22:08
12	75.67.197.129	8088	2011-06-26 14:21:01	2011-05-01 00:29:05
13	59.56.174.172	8000	2011-06-26 14:20:01	2011-06-17 17:29:07
14	61.19.69.75	8080	2011-06-26 14:17:04	2011-06-03 05:25:02
15	68.39.161.178	8080	2011-06-26 14:16:01	2011-06-09 15:18:01
16	218.19.119.99	8080	2011-06-26 14:15:08	2011-06-07 21:15:06
17	80.39.6.171	8118	2011-06-26 14:09:01	2011-02-20 23:53:01
18	210.158.6.201	8080	2011-06-26 14:08:03	2009-11-14 01:48:01
19	95.31.2.114	3128	2011-06-26 14:08:02	2011-05-04 23:36:02
20	94.188.22.220	3128	2011-06-26 14:08:02	2011-06-06 06:25:10
21	94.79.30.158	3128	2011-06-26 14:08:02	2011-06-12 09:30:15
22	81.200.26.217	3128	2011-06-26 14:08:01	2011-05-25 00:42:12
23	83.246.221.47	3128	2011-06-26 14:08:01	2011-06-08 06:12:01
24	92.50.129.74	3128	2011-06-26 14:08:01	2011-06-20 03:21:01
25	58.221.227.38	3128	2011-06-26 14:07:04	2011-05-25 21:38:09
26	60.11.62.176	8088	2011-06-26 14:07:03	2010-09-29 11:06:33
27	218.61.196.69	8080	2011-06-26 14:07:03	2011-06-22 12:03:05
28	203.202.224.174	8080	2011-06-26 14:07:03	2011-06-26 00:37:01
29	119.6.105.40	8080	2011-06-26 14:07:02	2011-05-30 00:12:02
30	125.101.84.47	8080	2011-06-26 14:06:01	2009-11-13 22:26:01
31	118.69.71.143	3128	2011-06-26 14:03:02	2010-09-27 20:41:02
32	95.181.60.70	3128	2011-06-26 14:01:02	2011-06-12 01:39:05
33	84.51.217.240	3128	2011-06-26 14:01:02	2011-06-12 01:39:06
34	79.141.78.47	3128	2011-06-26 14:01:01	2011-05-25 08:30:12
35	24.0.213.12	8008	2011-06-26 14:00:06	2011-06-21 00:42:05
36	200.46.3.125	3128	2011-06-26 13:51:13	2011-06-19 18:56:02
37	75.135.55.4	8088	2011-06-26 13:49:01	2011-06-18 20:39:03
38	123.196.120.21	8000	2011-06-26 13:44:07	2011-06-26 13:44:07
39	219.147.61.21	3128	2011-06-26 13:42:04	2011-01-13 18:50:15
40	61.190.28.166	8080	2011-06-26 13:41:02	2010-12-15 22:27:04
41	193.136.124.228	3124	2011-06-26 13:40:04	2011-06-26 13:40:04
42	82.199.113.2	3128	2011-06-26 13:40:02	2011-06-08 06:12:01
43	109.87.182.21	54321	2011-06-26 13:26:02	2011-05-02 06:25:03
44	149.249.17.34	8080	2011-06-26 13:13:04	2011-03-15 18:30:13
45	195.158.22.6	8080	2011-06-26 13:10:03	2011-02-28 01:24:01
46	212.113.46.23	3128	2011-06-26 13:10:03	2011-06-21 07:23:05
47	85.174.47.235	3128	2011-06-26 13:09:02	2011-03-20 09:33:07
48	95.71.124.1	3128	2011-06-26 13:08:03	2011-05-24 00:49:01
49	158.130.6.253	3127	2011-06-26 13:06:07	2011-06-16 11:02:03
50	129.82.12.187	3128	2011-06-26 13:03:01	2011-06-26 13:03:01
51	89.189.167.9	3128	2011-06-26 13:00:12	2011-06-12 01:39:05
52	128.143.6.130	3127	2011-06-26 13:00:10	2011-06-24 01:37:04
53	96.229.237.170	8080	2011-06-26 13:00:10	2011-06-26 13:00:10
54	209.97.203.60	8080	2011-06-26 13:00:05	2011-01-05 23:08:29
55	131.123.34.36	3128	2011-06-26 13:00:05	2011-06-26 07:23:05
56	216.147.142.30	8080	2011-06-26 12:58:01	2011-06-26 12:58:01
57	211.116.154.220	8080	2011-06-26 12:53:04	2011-06-26 12:53:04
58	24.14.119.114	7212	2011-06-26 12:52:01	2011-06-26 12:52:01
59	137.165.1.111	3127	2011-06-26 12:49:01	2011-06-26 12:49:01
60	137.165.1.111	3124	2011-06-26 12:49:01	2011-06-26 12:49:01
61	186.129.251.237	808	2011-06-26 12:48:04	2011-06-26 12:48:04
62	213.73.40.105	3124	2011-06-26 12:47:02	2011-06-26 02:45:18
63	211.166.8.158	8080	2011-06-26 12:47:01	2011-06-02 06:24:02
64	212.23.70.188	3128	2011-06-26 12:46:09	2011-05-08 09:14:03
65	109.230.213.40	3128	2011-06-26 12:46:09	2011-06-26 12:46:09
66	80.249.233.107	6588	2011-06-26 12:43:04	2011-06-26 12:43:04
67	82.151.195.227	3128	2011-06-26 12:41:05	2011-06-26 12:41:05
